Descriptors,Status
Device Descriptor,DISABLE
Configuration Descriptor,DISABLE
Interface Descriptor,DISABLE
HID Descriptor,DISABLE
Endpoint Descriptor,DISABLE
Device Qualifier Descriptor,DISABLE
Other Speed Descriptor,DISABLE
,
,
Operators,Status
EQUALS,DISABLE
NOT_EQUALS,DISABLE
GREATER,DISABLE
GREATER_EQUALS,DISABLE
LESS,DISABLE
LESS_EQUALS,DISABLE
STARTSWITH,DISABLE
ENDSWITH,DISABLE
CONTAINS,DISABLE
NOT_CONTAINS,DISABLE
,
Operators in Use,0
Operators Available,10
Watchdog Limit (in clock cycles),18
